dia,fecha,tema,fb,ig,hashtags,cta,url_imagen
1,2026-08-27,RUIA: el registro público que puede sacar a su empresa de una licitación,"Hay una base de datos pública, gratuita y consultable por cualquiera que muy pocas empresas del Cesar revisan antes de firmar un contrato o armar un consorcio. Se llama RUIA: Registro Único de Infractores Ambientales.

Lo creó la Ley 1333 de 2009 y lo reglamentó la Resolución 415 de 2010. Ahí quedan registradas las personas naturales y jurídicas sancionadas ambientalmente en Colombia, con el acto administrativo en firme.

Por qué esto es un asunto comercial y no solo jurídico:

1. Es público. No hay que ser autoridad para consultarlo. Su cliente puede mirarlo. Su socio de consorcio puede mirarlo. Usted puede mirar al que le están proponiendo como socio.

2. El reporte tiene un término de permanencia reglamentado. No es para siempre, pero tampoco desaparece cuando usted paga la multa.

3. En contratación, la reputación ambiental pesa. Un antecedente vivo en el RUIA es una conversación incómoda que se abre justo cuando usted está cerrando negocio.

Y algo que muchos todavía no han incorporado: la Ley 1333 fue modificada por la Ley 2387 de 2024. El régimen sancionatorio ambiental colombiano no está donde estaba hace dos años. Quien esté trabajando con la versión original de la norma está desactualizado.

Dos recomendaciones concretas:

— Antes de firmar un consorcio, consulte el RUIA de su futuro socio. Toma cinco minutos y le puede ahorrar un problema de años.
— Si su empresa tiene un proceso sancionatorio abierto, no lo maneje solo con el abogado. La defensa técnica ambiental —caracterizaciones, memorias de cálculo, evidencia de cumplimiento— es la que sostiene el argumento jurídico.

En SOSING acompañamos esa parte técnica.","¿Sabía que existe una lista pública de infractores ambientales en Colombia?

Se llama RUIA. La creó la Ley 1333 de 2009 y la reglamentó la Resolución 415 de 2010.

Tres cosas que debería saber:

Es pública. Su cliente puede consultarla. Su socio de consorcio también.

El reporte permanece un tiempo reglamentado. Pagar la multa no lo borra de inmediato.

La Ley 1333 fue modificada por la Ley 2387 de 2024. Si su asesor le está citando la versión vieja, está desactualizado.

Antes de firmar un consorcio: consulte el RUIA de su socio. Cinco minutos.",#SOSING #Valledupar #Cesar #NormativaAmbiental #CORPOCESAR #LicenciaAmbiental #GestionAmbiental #IngenieriaAmbiental,Escríbenos por WhatsApp: +57 311 660 8217,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_01.png
2,2026-08-28,Qué incluye realmente un estudio de impacto ambiental,"""Necesito un estudio de impacto ambiental."" Es la frase. Pero pocos saben qué hay adentro.

Un EIA que cumple los Términos de Referencia del ANLA tiene, mínimo:

· Descripción del proyecto — obras, actividades, cronograma, insumos
· Área de influencia — delimitada y justificada técnicamente, no dibujada a ojo
· Línea base — física, biótica y socioeconómica. Aquí se va el 60% del trabajo de campo
· Zonificación ambiental y zonificación de manejo
· Demanda de recursos naturales — el capítulo que define qué permisos van dentro de la licencia
· Evaluación de impactos — con y sin proyecto
· Plan de manejo ambiental — programas, fichas, indicadores, costos
· Plan de seguimiento y monitoreo
· Plan de contingencia
· Plan de abandono y restauración

La línea base es donde se caen la mayoría. No se puede escribir desde una oficina: exige campo, muestreo, laboratorio acreditado y cartografía en el sistema de referencia oficial.

Un EIA mal hecho no se rechaza rápido. Se queda meses en requerimientos. Y cada mes de requerimiento es un mes de obra parada.","""Necesito un EIA.""

Lo que hay adentro de verdad:
· Descripción del proyecto
· Área de influencia justificada
· Línea base física, biótica y socioeconómica ← el 60% del trabajo
· Zonificación de manejo
· Demanda de recursos naturales
· Evaluación de impactos
· PMA con fichas, indicadores y costos
· Seguimiento, contingencia y abandono

La línea base no se escribe desde una oficina. Exige campo, laboratorio acreditado y cartografía oficial.

Un EIA mal hecho no se rechaza rápido: se queda meses en requerimientos.",#SOSING #Valledupar #Cesar #IngenieriaAmbiental #TrabajoDeCampo #ConsultoriaAmbiental #IngenieriaColombia #Ingenieria,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_02.png
3,2026-08-29,El PMGRD municipal que nadie actualiza,"Pregunta incómoda para cualquier alcaldía: ¿cuándo se actualizó por última vez el Plan Municipal de Gestión del Riesgo de Desastres?

La Ley 1523 de 2012 lo hizo obligatorio para los 1.103 municipios del país. Trece años después, buena parte de esos planes son documentos de 2013 que nadie ha vuelto a abrir.

El problema no es el incumplimiento formal. Es lo que pasa cuando llega la emergencia:

· El plan identifica escenarios de riesgo que ya cambiaron
· Los puntos críticos de inundación se movieron porque la ciudad creció
· Los contactos del Consejo Municipal de Gestión del Riesgo son de tres administraciones atrás
· No hay línea presupuestal asociada, entonces no hay con qué responder

Y cuando la Contraloría o la UNGRD pide el plan actualizado, el municipio queda expuesto.

Un PMGRD actualizado en serio tiene: caracterización de escenarios con cartografía vigente, priorización por riesgo real, programas con costos, fuentes de financiación identificadas y responsables con nombre y cargo.

Es un documento que se usa, no que se archiva.","Pregunta incómoda: ¿cuándo se actualizó el PMGRD de su municipio?

La Ley 1523 de 2012 lo hizo obligatorio para los 1.103 municipios. Muchos siguen con el documento de 2013.

Lo que pasa cuando llega la emergencia:
· Los escenarios de riesgo ya cambiaron
· Los puntos críticos se movieron porque la ciudad creció
· Los contactos son de tres administraciones atrás
· Sin línea presupuestal no hay con qué responder

Un PMGRD sirve cuando se usa, no cuando se archiva.",#SOSING #Valledupar #Cesar #GestionDelRiesgo #Ley1523 #GestionDelRiesgoDeDesastres #ResilienciaTerritorial #Prevencion,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_03.png
4,2026-08-30,IRCA: el número que dice si el agua de su municipio es potable,"Hay un número que resume, en una sola cifra, si el agua que toma un municipio es apta para consumo humano: el IRCA (Índice de Riesgo de la Calidad del Agua para Consumo Humano).

Lo define la Resolución 2115 de 2007 y se lee así:

· 0 – 5 %: SIN RIESGO. Agua apta.
· 5,1 – 14 %: Riesgo BAJO
· 14,1 – 35 %: Riesgo MEDIO
· 35,1 – 80 %: Riesgo ALTO
· 80,1 – 100 %: INVIABLE SANITARIAMENTE

Lo importante: el IRCA no es un dato de laboratorio suelto. Es un promedio ponderado de los parámetros que se salieron de norma, y cada parámetro pesa distinto. La E. coli pesa 25 puntos ella sola. Un solo hallazgo microbiológico puede tumbar un municipio entero a riesgo alto.

Cuando un municipio tiene IRCA alto sostenido, no es solo un problema de salud pública. Es un condicionante para acceder a recursos del sector y una alerta para los organismos de control.

La corrección casi nunca está donde se cree. A veces no es la planta: es la red, los tanques sin lavar o la falta de vigilancia de la dosificación de cloro. Por eso el diagnóstico va primero.","El IRCA es el número que dice si el agua de su municipio es potable.

0–5 % → SIN RIESGO
5,1–14 % → BAJO
14,1–35 % → MEDIO
35,1–80 % → ALTO
80,1–100 % → INVIABLE SANITARIAMENTE

Dato clave: la E. coli pesa 25 puntos ella sola. Un solo hallazgo microbiológico puede tumbar el municipio a riesgo alto.

Y la corrección casi nunca está en la planta. Suele estar en la red, en los tanques o en la dosificación de cloro.

Por eso el diagnóstico va primero.",#SOSING #Valledupar #Cesar #AguaPotable #Saneamiento #IngenieriaSanitaria #AguaParaTodos #RecursoHidrico,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_04.png
5,2026-08-31,Quiénes somos: el equipo detrás de los informes,"Somos SOSING S.A.S. Ingeniería ambiental, forestal, gestión del riesgo, interventoría y obra civil. Con base en Valledupar, trabajando en el Cesar y La Guajira.

Lo que nos define no es un eslogan. Es un número que cualquiera puede verificar:

42 contratos ejecutados y certificados en el Registro Único de Proponentes.

No decimos ""líderes en soluciones integrales"". Decimos: ejecutamos 42 contratos, están certificados, y usted puede pedir el RUP y comprobarlo.

Detrás de cada uno hay gente que se levanta a las 4 de la mañana para hacer un aforo antes de que suba el sol, que carga neveras con muestras hasta el laboratorio, y que revisa un informe de 400 páginas tres veces antes de radicarlo.

Esa es la empresa. Bienvenidos.","Somos SOSING S.A.S.

Ingeniería ambiental, forestal, gestión del riesgo e interventoría. Base en Valledupar. Trabajo en Cesar y La Guajira.

Lo que nos define no es un eslogan. Es un número verificable:

42 contratos ejecutados y certificados en el RUP.

No decimos ""líderes en soluciones integrales"". Decimos: pida el RUP y compruébelo.

Bienvenidos.",#SOSING #Valledupar #Cesar #EquipoSOSING #IngenieriaColombia #TalentoDelCesar #SeguridadYSalud #OrgulloVallenato,Conócenos: sosinggroup.com,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_05.png
6,2026-09-01,Qué es el RUP y por qué debería saber leerlo,"Si va a contratar con el Estado colombiano —o a asociarse con alguien que lo haga— tiene que saber leer un RUP.

El Registro Único de Proponentes es la hoja de vida verificada de una empresa ante el Estado. Lo expide la Cámara de Comercio y contiene tres bloques:

1. EXPERIENCIA. Contratos ejecutados, clasificados con códigos UNSPSC y cuantificados en SMMLV. Aquí se mira: ¿cuántos contratos?, ¿por cuánto?, ¿en qué códigos?, ¿cuál fue el mayor contrato individual?

2. CAPACIDAD FINANCIERA. Índice de liquidez, nivel de endeudamiento, razón de cobertura de intereses, capital de trabajo, patrimonio.

3. CAPACIDAD ORGANIZACIONAL. Rentabilidad del patrimonio y del activo.

El error más común es mirar solo el valor total de la experiencia. Un pliego rara vez pide ""experiencia total"": pide contratos en códigos UNSPSC específicos, a veces con un valor mínimo por contrato individual. Una empresa con mucha experiencia dispersa puede no cumplir, y una con pocos contratos bien clasificados sí.

Nuestro RUP: 42 contratos, 10.017,92 SMMLV acumulados, mayor contrato individual 1.119,79 SMMLV. Liquidez 5,47 · endeudamiento 0,30 · cobertura de intereses 462,66.

Está publicado. Verifíquelo.","Si contrata con el Estado, tiene que saber leer un RUP.

Trae 3 bloques:
1. Experiencia — contratos en SMMLV y códigos UNSPSC
2. Capacidad financiera — liquidez, endeudamiento, cobertura
3. Capacidad organizacional — rentabilidad

El error #1: mirar solo el valor total. Los pliegos piden códigos UNSPSC específicos, no experiencia genérica. Una empresa con mucha experiencia dispersa puede no cumplir.

Nuestro RUP: 42 contratos · 10.017,92 SMMLV · liquidez 5,47 · endeudamiento 0,30.

Verifíquelo.",#SOSING #Valledupar #Cesar #ContratacionPublica #SECOPII #Licitaciones #Consorcio #RUP #AlianzasEstrategicas,¿Buscas socio técnico para un proceso? Escríbenos.,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_06.png
7,2026-09-02,Río Guatapurí: el patrimonio hídrico de Valledupar,"El Guatapurí nace en la Sierra Nevada de Santa Marta, a más de 4.000 metros, y baja hasta Valledupar. Es la fuente de abastecimiento de la ciudad y, para quien nació aquí, bastante más que eso.

Un río de montaña como el Guatapurí tiene un comportamiento que hay que respetar: caudales bajos en la temporada seca y crecientes rápidas y violentas cuando llueve fuerte en la parte alta. Esa variabilidad es la razón por la que las obras sobre cauce en esta cuenca exigen estudios hidrológicos e hidráulicos serios, no estimaciones.

Y es la razón por la que lo que pasa en la parte alta —la cobertura vegetal de la Sierra— define lo que llega abajo. La cuenca no empieza en el balneario. Empieza en el páramo.

Cuidar el Guatapurí no es un tema ambiental abstracto. Es la seguridad hídrica de una ciudad de más de 500.000 habitantes.","El Guatapurí nace a más de 4.000 metros en la Sierra Nevada y baja hasta Valledupar.

Caudales bajos en seca. Crecientes rápidas y violentas cuando llueve arriba.

Esa variabilidad es la razón por la que las obras sobre cauce aquí exigen estudios hidrológicos e hidráulicos serios, no estimaciones.

Y por la que lo que pasa en la parte alta define lo que llega abajo.

La cuenca no empieza en el balneario. Empieza en el páramo.",#SOSING #Valledupar #Cesar #SierraNevada #MedioAmbiente #Caribe #Colombia #Biodiversidad,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_07.png
8,2026-09-03,Concesión de aguas: el trámite que todo predio productivo olvida,"Si usted capta agua de un río, de una quebrada, de un jagüey o de un pozo profundo —para riego, para ganadería, para un proceso industrial o para consumo— necesita concesión de aguas.

No importa que el pozo esté dentro de su predio. El agua subterránea no es del dueño del terreno. En Colombia el agua es un bien de uso público y su aprovechamiento requiere autorización de la autoridad ambiental.

Lo que exige el trámite:

· Identificación y georreferenciación del punto de captación
· Caudal solicitado, justificado técnicamente según el uso
· Para pozos: prueba de bombeo y caracterización del acuífero
· Plan de uso eficiente y ahorro del agua (PUEAA) si el uso lo amerita
· Servidumbres y linderos claros

El error clásico: pedir ""el caudal que dé el pozo"". La autoridad no concesiona lo que dé el pozo; concesiona lo que usted demuestre que necesita. Un módulo de consumo mal calculado es la causa número uno de requerimientos.

Y el otro error: perforar primero y legalizar después. Eso convierte un trámite ordinario en un proceso sancionatorio.","¿Capta agua de un río, quebrada, jagüey o pozo? Necesita concesión de aguas.

Y sí: aunque el pozo esté dentro de su predio. El agua subterránea no es del dueño del terreno — en Colombia el agua es un bien de uso público.

Los dos errores clásicos:

1. Pedir ""el caudal que dé el pozo"". La autoridad concesiona lo que usted DEMUESTRE que necesita, no lo que el pozo entregue.

2. Perforar primero y legalizar después. Eso convierte un trámite ordinario en un proceso sancionatorio.",#SOSING #Valledupar #Cesar #NormativaAmbiental #CORPOCESAR #LicenciaAmbiental #GestionAmbiental #IngenieriaAmbiental,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_08.png
9,2026-09-04,Inventario forestal: cómo se hace de verdad,"Un inventario forestal no es contar árboles.

Es un ejercicio estadístico con reglas, y de cómo se haga depende que la autoridad apruebe o devuelva el trámite.

El procedimiento real:

1. DEFINIR EL TIPO. Inventario al 100% (censo) cuando el área es pequeña o el aprovechamiento es único. Por muestreo cuando el área es extensa — y ahí hay que justificar el diseño y el error de muestreo admisible.

2. ESTABLECER LAS PARCELAS. Georreferenciadas, con forma y tamaño definidos según la cobertura. En bosque seco tropical no se usa el mismo diseño que en bosque de galería.

3. MEDIR. DAP a 1,30 m del suelo, altura total y altura comercial, y estado fitosanitario. Cada individuo se marca y se registra.

4. IDENTIFICAR. Nombre científico, no ""guayacán"" a secas. Si no hay certeza en campo, se colecta y se lleva a herbario.

5. CALCULAR. Volumen por individuo, volumen total, volumen comercial. Y aquí entra el factor de forma, que no es 0,7 porque sí.

6. ANALIZAR. Estructura horizontal y vertical, índice de valor de importancia, diversidad.

El paso donde más se falla es el 4. Una identificación taxonómica errada puede significar que se autorizó el aprovechamiento de una especie vedada. Eso ya no es un requerimiento: es un problema sancionatorio.","Un inventario forestal no es contar árboles.

El procedimiento real:
1. Definir tipo — censo o muestreo (y justificar el diseño)
2. Establecer parcelas georreferenciadas
3. Medir DAP a 1,30 m, altura total y comercial
4. Identificar con nombre científico ← aquí falla todo el mundo
5. Calcular volumen con factor de forma justificado
6. Analizar estructura, IVI y diversidad

Una identificación taxonómica errada puede significar que se autorizó aprovechar una especie vedada.

Eso ya no es un requerimiento. Es un sancionatorio.",#SOSING #Valledupar #Cesar #IngenieriaAmbiental #TrabajoDeCampo #ConsultoriaAmbiental #IngenieriaColombia #Ingenieria,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_09.png
10,2026-09-05,Temporada seca en el Cesar: incendios de cobertura vegetal,"Entre diciembre y marzo el Cesar se seca. Y con la sequía llegan los incendios de cobertura vegetal.

Casi ninguno es espontáneo. La gran mayoría tiene origen antrópico: quemas para preparación de tierras que se salen de control, quemas de residuos, colillas, fogatas mal apagadas.

Lo que un municipio debería tener listo ANTES de que empiece la temporada, y casi nunca tiene:

· Mapa de susceptibilidad a incendios de cobertura vegetal, actualizado
· Identificación de los corredores críticos y de las zonas de interfaz urbano-rural
· Protocolo de respuesta con roles asignados por nombre, no por cargo genérico
· Inventario real de equipos: bombas de espalda, batefuegos, herramienta manual, EPP
· Puntos de abastecimiento de agua identificados y con acceso verificado
· Acuerdos previos con bomberos, defensa civil, Ejército y propietarios rurales
· Campaña de prevención iniciada en NOVIEMBRE, no en enero

El error más costoso es tratar la temporada seca como una emergencia imprevista. Es un evento anual, con fecha aproximada conocida. Lo que se puede planear no debería sorprender.

Si su municipio va a preparar la temporada 2026-2027, este es el mes de empezar.","Entre diciembre y marzo el Cesar se seca. Y llegan los incendios de cobertura vegetal.

Casi ninguno es espontáneo. La mayoría tiene origen antrópico.

Lo que un municipio debería tener listo ANTES:
· Mapa de susceptibilidad actualizado
· Corredores críticos identificados
· Protocolo con roles por nombre, no por cargo
· Inventario real de equipos y EPP
· Puntos de agua con acceso verificado
· Campaña de prevención desde NOVIEMBRE

La temporada seca no es una emergencia imprevista. Es un evento anual con fecha conocida.

Lo que se puede planear no debería sorprender.",#SOSING #Valledupar #Cesar #GestionDelRiesgo #Ley1523 #GestionDelRiesgoDeDesastres #ResilienciaTerritorial #Prevencion,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_10.png
