# Bitacora de publicaciones de SOSING S.A.S.
# FECHA | dia N | RED(ES) | IDs | tema
# Historico migrado desde Dropbox el 2026-09-19.
2026-08-25 | prueba | Facebook | 233968186810864_1814325910332061 | Post de prueba: permiso de vertimientos (contenido original del dia 1)
2026-08-27 | dia 1 | Facebook + Instagram | FB 233968186810864_1815867656844553 / IG 18024269630910112 | RUIA: el registro publico que puede sacar a su empresa de una licitacion
2026-08-28 | dia 2 | Facebook + Instagram | FB 233968186810864_1816841820080470 / IG 18032396363838939 | Que incluye realmente un estudio de impacto ambiental
2026-08-29 | dia 3 | Facebook + Instagram | FB 233968186810864_1817755679989084 / IG 17942995140074693 | El PMGRD municipal que nadie actualiza
2026-08-30 | dia 4 | Facebook + Instagram | FB 233968186810864_1818664776564841 / IG 18103947362214069 | IRCA: el numero que dice si el agua de su municipio es potable
2026-08-31 | dia 5 | Facebook + Instagram | FB 233968186810864_1819609816470337 / IG 18132005119635378 | Quienes somos: el equipo detras de los informes
2026-09-01 | dia 6 | Facebook + Instagram | FB 233968186810864_1820696226361696 / IG 18407233231086595 | Que es el RUP y por que deberia saber leerlo
2026-09-02 | dia 7 | Facebook + Instagram | FB 233968186810864_1821550832942902 / IG 18088247561195333 | Rio Guatapuri: el patrimonio hidrico de Valledupar
2026-09-03 | dia 8 | Facebook + Instagram | FB 233968186810864_1822451322852853 / IG 18173842864452595 | Concesion de aguas: el tramite que todo predio productivo olvida
2026-09-04 | dia 9 | Facebook + Instagram | FB 233968186810864_1823447192753266 / IG 18140891497596342 | Inventario forestal: como se hace de verdad
2026-09-05 | dia 10 | Facebook + Instagram | FB 233968186810864_1824423462655639 / IG 18028271429850947 | Temporada seca en el Cesar: incendios de cobertura vegetal
2026-09-06 | dia 11 | Facebook + Instagram | FB 233968186810864_1825386629225989 / IG 18137351365626600 | Perdidas en redes: el agua que se produce y nunca se cobra
2026-09-07 | dia 12 | Facebook + Instagram | FB 233968186810864_1826333419131310 / IG 18090238835336611 | Un dia en campo empieza a las 4:30
2026-09-08 | dia 13 | Facebook + Instagram | FB 233968186810864_1827280735703245 / IG 17961787932193081 | Capacidad residual: por que una buena empresa pierde procesos
2026-09-09 | dia 14 | Facebook + Instagram | FB 233968186810864_1828281382269847 / IG 18038156054648802 | Sierra Nevada de Santa Marta: la fabrica de agua de tres departamentos
2026-09-10 | dia 15 | Facebook + Instagram | FB 233968186810864_1829268815504437 / IG 18086899826248033 | Licencia ambiental vs. permiso ambiental: no son lo mismo
2026-09-11 | dia 16 | Facebook (IG sin confirmar: se corto la conexion con Zapier durante la ejecucion) | FB 233968186810864_1830240518740600 | Aforo de caudales: como se mide un rio
2026-09-12 | dia 17 | Facebook + Instagram | FB 233968186810864_1831183121979673 / IG 18081565997329556 | Estudios de amenaza, vulnerabilidad y riesgo para el POT
2026-09-13 | dia 18 | Facebook + Instagram | FB 233968186810864_1832166775214641 / IG 18621142030020146 | PTAR: los lodos son el residuo que nadie planea
2026-09-14 | dia 19 | Facebook + Instagram | FB 233968186810864_1833154875115831 / IG 18071398820718390 | Como revisamos un entregable antes de radicarlo
2026-09-15 | dia 20 | Facebook + Instagram | FB 233968186810864_1834107825020536 / IG 17919779595440344 | Consorcio o union temporal: cual conviene
2026-09-16 | dia 21 | Facebook + Instagram | FB 233968186810864_1835099121588073 / IG 17868374427644994 | Cienaga de Zapatosa: el mayor complejo cenagoso de agua dulce del pais
2026-09-17 | dia 22 | Facebook + Instagram | FB 233968186810864_1836078264823492 / IG 18198689728376620 | PSMV: la obligacion municipal que CORPOCESAR si verifica
2026-09-18 | dia 23 | NO PUBLICADO (cuenta Zapier sin tareas disponibles en el periodo de facturacion) | - | Caracterizacion de vertimientos: la cadena de custodia importa tanto como el laboratorio
2026-09-19 | dia 24 | Facebook + Instagram (publicado a mano por Yair) | - | Sistemas de alerta temprana: la tecnologia es la parte facil
